[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:52:37] #0002/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:52:44] #0003/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:52:56] #0004/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:53:02] #0005/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:27] #0006/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:32] #0007/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:53] #0008/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 21:54:00] #0009/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:54:12] #0010/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:54:38] #0011/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 21:54:49] #0012/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:55:10] #0013/04689 | true=lying | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 21:55:27] #0014/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:55:41] #0015/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:55:51] #0016/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 21:55:59] #0017/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:04] #0018/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:19] #0019/04689 | true=lying | pred=lying | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 21:56:41] #0020/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:41]   [20/4689] acc=35% filt=20
[2026-05-11 21:56:50] #0021/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:56:56] #0022/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:09] #0023/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:57:23] #0024/04689 | true=lying | pred=lying | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-11 21:57:36] #0025/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:51] #0026/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:58:01] #0027/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:04] #0028/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 21:58:10] #0029/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:18] #0030/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:22] #0031/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:58:31] #0032/04689 | true=lying | pred=lying | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 21:58:39] #0033/04689 | true=lying | pred=lying | ✓ | ent=0.358 conf=0.900 gap=0.810
[2026-05-11 21:59:01] #0034/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:59:07] #0035/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:14] #0036/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:20] #0037/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:59:30] #0038/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:43] #0039/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:50] #0040/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:59:50]   [40/4689] acc=40% filt=40
[2026-05-11 21:59:55] #0041/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
