[2026-05-11 21:53:27] #0006/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:32] #0007/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:54:00] #0009/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:54:38] #0011/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 21:55:51] #0016/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 21:56:04] #0018/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:19] #0019/04689 | true=lying | pred=lying | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 21:56:56] #0022/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:23] #0024/04689 | true=lying | pred=lying | ✓ | ent=0.780 conf=0.700 gap=0.450
[2026-05-11 21:58:01] #0027/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:04] #0028/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 21:58:10] #0029/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:22] #0031/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:58:31] #0032/04689 | true=lying | pred=lying | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 21:58:39] #0033/04689 | true=lying | pred=lying | ✓ | ent=0.358 conf=0.900 gap=0.810
[2026-05-11 21:59:50] #0040/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:59:55] #0041/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:00:29] #0044/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:07] #0049/04689 | true=lying | pred=lying | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 22:02:31] #0050/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:05] #0052/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:03:19] #0053/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:03:53] #0054/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:05:18] #0063/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:06:14] #0066/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:07:41] #0069/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:08:36] #0071/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:09:08] #0073/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:09:18] #0074/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 22:10:17] #0078/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:11:50] #0082/04689 | true=lying | pred=lying | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 22:12:28] #0084/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:12:31] #0085/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:12:58] #0087/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-11 22:13:26] #0091/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:17] #0094/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:14:25] #0095/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:14:51] #0098/04689 | true=lying | pred=lying | ✓ | ent=0.802 conf=0.800 gap=0.730
[2026-05-11 22:19:22] #0113/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:19:49] #0114/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:20:39] #0117/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 22:21:19] #0118/04689 | true=lying | pred=lying | ✓ | ent=0.102 conf=0.985 gap=0.980
[2026-05-11 22:21:24] #0119/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:36] #0120/04689 | true=lying | pred=lying | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:22:25] #0123/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:23:52] #0129/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:25:14] #0133/04689 | true=lying | pred=lying | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:27:36] #0138/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:28:12] #0140/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:28:15] #0141/04689 | true=lying | pred=lying | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 22:28:23] #0142/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:28:32] #0143/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:28:48] #0145/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:42] #0148/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:29:51] #0149/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:30:22] #0151/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:30:41] #0152/04689 | true=lying | pred=lying | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 22:32:06] #0157/04689 | true=lying | pred=lying | ✓ | ent=0.781 conf=0.800 gap=0.700
[2026-05-11 22:33:33] #0160/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:13] #0162/04689 | true=lying | pred=lying | ✓ | ent=0.995 conf=0.700 gap=0.550
[2026-05-11 22:34:41] #0165/04689 | true=lying | pred=lying | ✓ | ent=1.076 conf=0.700 gap=0.600
[2026-05-11 22:34:57] #0166/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 22:34:59] #0167/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:35:19] #0168/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:35:22] #0169/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:35:30] #0170/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:38:53] #0174/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:39:10] #0175/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:39:32] #0178/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:41:15] #0183/04689 | true=lying | pred=lying | ✓ | ent=0.827 conf=0.800 gap=0.730
[2026-05-11 22:41:40] #0184/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:42:06] #0185/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:03] #0190/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:43:35] #0192/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:46:18] #0198/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:46:47] #0200/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:46:59] #0201/04689 | true=lying | pred=lying | ✓ | ent=0.417 conf=0.910 gap=0.870
[2026-05-11 22:47:24] #0202/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:48:18] #0206/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:48:45] #0209/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:49:37] #0211/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:36] #0216/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:47] #0217/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:50:52] #0218/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:51:23] #0219/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:51:43] #0220/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:52:51] #0222/04689 | true=lying | pred=lying | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-11 22:54:21] #0229/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:54:44] #0230/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:54:51] #0231/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:55:23] #0233/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:56:06] #0235/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 22:56:15] #0236/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:57:05] #0239/04689 | true=lying | pred=lying | ✓ | ent=0.243 conf=0.950 gap=0.916
[2026-05-11 22:57:09] #0240/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:58:26] #0245/04689 | true=lying | pred=lying | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:58:50] #0246/04689 | true=lying | pred=lying | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-11 22:59:25] #0247/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:59:43] #0248/04689 | true=lying | pred=lying | ✓ | ent=0.313 conf=0.940 gap=0.910
[2026-05-11 23:00:11] #0250/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:01:20] #0255/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:02:10] #0258/04689 | true=lying | pred=lying | ✓ | ent=0.939 conf=0.700 gap=0.550
[2026-05-11 23:02:34] #0259/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:02:42] #0260/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:04:15] #0265/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:05:21] #0268/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 23:05:40] #0269/04689 | true=lying | pred=lying | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 23:06:04] #0272/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:17] #0273/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:06:28] #0274/04689 | true=lying | pred=lying | ✓ | ent=1.076 conf=0.700 gap=0.600
[2026-05-11 23:06:58] #0276/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:07:27] #0278/04689 | true=lying | pred=lying | ✓ | ent=0.489 conf=0.895 gap=0.855
[2026-05-11 23:07:45] #0280/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:08:25] #0282/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:08:32] #0283/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-11 23:08:38] #0284/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:08:43] #0285/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:09:27] #0287/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
