[2026-05-08 11:38:18]   [001/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 11:39:25]   [005/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.64 | top=4:0.80, 3:0.16
[2026-05-08 11:39:57]   [007/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.99 | top=1:0.55, 0:0.35
[2026-05-08 11:40:12]   [008/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.55, 1:0.45
[2026-05-08 11:40:22]   [009/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.71 | top=2:0.80, 1:0.13
[2026-05-08 11:40:44]   [010/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.69 | top=1:0.55, 0:0.45
[2026-05-08 11:41:17]   [012/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 11:41:29]   [013/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=1.05 | top=0:0.45, 1:0.45
[2026-05-08 11:41:57]   [015/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.75 | top=0:0.70, 1:0.25
[2026-05-08 11:42:34]   [017/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.90 | top=1:0.50, 0:0.45
[2026-05-08 11:42:42]   [018/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.52 | top=3:0.88, 4:0.06
[2026-05-08 11:42:51]   [019/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.20 | top=3:0.95, 4:0.05
[2026-05-08 11:42:59]   [020/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.20 | top=3:0.95, 4:0.05
[2026-05-08 11:43:22]   [022/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 11:43:48]   [024/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.86 | top=1:0.50, 0:0.45
[2026-05-08 11:43:57]   [025/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 11:45:03]   [029/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.86 | top=1:0.50, 0:0.45
[2026-05-08 11:45:10]   [030/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.42 | top=4:0.90, 3:0.07
[2026-05-08 11:45:28]   [031/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.94 | top=3:0.52, 4:0.42
[2026-05-08 11:46:28]   [035/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.75, 1:0.20
[2026-05-08 11:46:38]   [036/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:46:55]   [037/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 11:47:04]   [038/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.82 | top=3:0.58, 4:0.39
[2026-05-08 11:47:13]   [039/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:47:24]   [040/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.33 | top=4:0.90, 3:0.10
[2026-05-08 11:47:30]   [041/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 11:48:02]   [043/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 11:49:22]   [048/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
[2026-05-08 11:49:31]   [049/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.49 | top=3:0.87, 4:0.10
[2026-05-08 11:50:09]   [051/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.62 | top=2:0.85, 0:0.05
[2026-05-08 11:50:18]   [052/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.62 | top=2:0.85, 0:0.05
[2026-05-08 11:50:26]   [053/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 11:50:53]   [055/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 11:51:20]   [057/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.33 | top=2:0.93, 1:0.04
[2026-05-08 11:51:29]   [058/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.38 | top=2:0.90, 1:0.08
[2026-05-08 11:51:37]   [059/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 11:52:02]   [061/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.42 | top=3:0.85, 4:0.15
[2026-05-08 11:53:13]   [065/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.95 | top=0:0.45, 1:0.45
