[2026-05-11 11:03:27] #0001/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 11:07:01] #0008/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:08:08] #0010/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.766 | conf=0.758 | gap=0.600
[2026-05-11 11:08:22] #0011/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:08:42] #0012/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.165 | conf=0.611 | gap=0.444
[2026-05-11 11:09:12] #0013/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:10:05] #0015/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:11:56] #0018/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.299 | conf=0.650 | gap=0.550
[2026-05-11 11:14:18] #0023/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:14:33] #0024/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.434 | conf=0.880 | gap=0.790
[2026-05-11 11:15:25] #0026/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:30] #0028/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:00] #0029/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:17:51] #0030/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.351 | conf=0.650 | gap=0.550
[2026-05-11 11:18:55] #0032/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 11:19:49] #0034/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:20:24] #0035/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:20:34] #0036/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:21:31] #0038/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:21:46] #0039/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:22:02] #0040/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:22:31] #0041/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:23:21] #0043/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 11:24:10] #0045/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.010 | conf=0.632 | gap=0.421
[2026-05-11 11:25:37] #0048/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:26:53] #0050/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.624 | conf=0.820 | gap=0.700
[2026-05-11 11:27:56] #0052/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:28:39] #0053/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:04] #0054/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 11:31:53] #0059/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:49] #0061/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:33:15] #0062/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:36:47] #0067/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 11:38:12] #0070/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.729 | conf=0.780 | gap=0.660
[2026-05-11 11:40:44] #0075/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:42:25] #0079/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:43:43] #0082/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 11:43:50] #0083/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:44:02] #0084/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:44:20] #0085/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.347 | conf=0.591 | gap=0.430
[2026-05-11 11:44:49] #0086/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:46:31] #0090/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 11:47:03] #0091/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.362 | conf=0.882 | gap=0.765
[2026-05-11 11:49:51] #0096/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 11:50:05] #0097/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:50:19] #0098/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.317 | conf=0.700 | gap=0.650
[2026-05-11 11:51:28] #0101/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:51:42] #0102/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:51:55] #0103/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:56:21] #0108/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:59:19] #0114/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:00:01] #0116/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:01:18] #0119/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 12:02:02] #0121/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:04:54] #0126/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:05:05] #0127/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:05:17] #0128/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:05:37] #0129/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:49] #0130/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.758 | conf=0.800 | gap=0.720
[2026-05-11 12:05:59] #0131/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 12:06:33] #0132/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 12:08:45] #0135/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 12:08:55] #0136/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.376 | conf=0.920 | gap=0.880
[2026-05-11 12:10:18] #0139/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:10:53] #0140/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:12:38] #0144/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:12:49] #0145/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 12:13:54] #0148/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
