[2026-05-11 11:03:49] #0001/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:04:02] #0002/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:04:36] #0003/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 11:04:46] #0004/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:04:58] #0005/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:05:12] #0006/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:06:16] #0008/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:06:29] #0009/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:42] #0010/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:56] #0011/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:09] #0012/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:08:42] #0014/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:08:53] #0015/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:09:38] #0016/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:24] #0017/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:37] #0018/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:53] #0019/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:11:09] #0020/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 11:11:20] #0021/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:11:31] #0022/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:11:43] #0023/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:11:55] #0024/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:12:08] #0025/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:12:23] #0026/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:12:33] #0027/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:19] #0029/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:30] #0030/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:14:52] #0033/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:15:20] #0034/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:15:28] #0035/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:15:40] #0036/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:26] #0038/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:16:38] #0039/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:16:50] #0040/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:17:07] #0041/02219 | true=Jump(8) | pred=Jump(8) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
