[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 21:51:51] #0002/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 21:51:55] #0003/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 21:52:33] #0005/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.305 conf=0.450 gap=0.150
[2026-05-11 21:52:57] #0007/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-11 21:53:44] #0009/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 21:54:14] #0010/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.056 conf=0.700 gap=0.550
[2026-05-11 21:54:38] #0012/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:54:44] #0013/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 21:56:14] #0018/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:34] #0020/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:57:23] #0022/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-11 21:58:46] #0024/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.864 conf=0.800 gap=0.750
[2026-05-11 21:58:50] #0025/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 21:58:53] #0026/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-11 21:58:57] #0027/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:59:07] #0028/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:10] #0029/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 21:59:22] #0030/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:59:33] #0031/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 21:59:47] #0032/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.679 conf=0.300 gap=0.050
[2026-05-11 21:59:50] #0033/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:59:59] #0034/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.518 conf=0.300 gap=0.000
[2026-05-11 22:00:03] #0035/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:00:12] #0036/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 22:00:25] #0037/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.223 conf=0.650 gap=0.500
[2026-05-11 22:01:18] #0040/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:01:41] #0041/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.863 conf=0.780 gap=0.680
[2026-05-11 22:02:25] #0044/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:02:29] #0045/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:02:57] #0047/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:03:29] #0049/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:04:03] #0050/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.020 conf=0.720 gap=0.600
[2026-05-11 22:04:08] #0051/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:04:22] #0052/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.031 conf=0.700 gap=0.550
[2026-05-11 22:04:59] #0054/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:05:07] #0055/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:05:09] #0056/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-11 22:06:14] #0058/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:06:33] #0059/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.982 conf=0.750 gap=0.650
[2026-05-11 22:06:42] #0060/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.426 conf=0.450 gap=0.250
[2026-05-11 22:06:57] #0061/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:07:11] #0062/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.308 conf=0.450 gap=0.100
[2026-05-11 22:07:32] #0063/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:07:39] #0064/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:08:16] #0066/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:08:29] #0067/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-11 22:08:46] #0069/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:08:57] #0070/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:09:15] #0071/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.968 conf=0.750 gap=0.650
[2026-05-11 22:09:24] #0072/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:09:52] #0074/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:10:22] #0076/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:10:30] #0077/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 22:10:33] #0078/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:11:28] #0079/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-11 22:12:00] #0080/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.633 conf=0.789 gap=0.632
[2026-05-11 22:12:03] #0081/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:06] #0082/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:12:41] #0084/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:13:20] #0085/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:13:30] #0086/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
