[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 21:52:41] #0003/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.374 conf=0.500 gap=0.200
[2026-05-11 21:53:55] #0008/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.180 conf=0.600 gap=0.350
[2026-05-11 21:55:13] #0012/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 21:57:00] #0018/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:11] #0019/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.166 conf=0.600 gap=0.350
[2026-05-11 21:58:45] #0025/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.184 conf=0.650 gap=0.500
[2026-05-11 21:58:53] #0026/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:00:42] #0029/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.338 conf=0.550 gap=0.300
[2026-05-11 22:01:48] #0034/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:02:36] #0037/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:03:00] #0038/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:05:34] #0047/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:06:34] #0050/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.837 conf=0.680 gap=0.430
[2026-05-11 22:07:13] #0052/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:07:23] #0053/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.580 conf=0.400 gap=0.150
[2026-05-11 22:10:12] #0062/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:10:26] #0063/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:11:40] #0068/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:15:53] #0083/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:21:05] #0094/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:26:16] #0111/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:27:55] #0116/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.839 conf=0.780 gap=0.660
[2026-05-11 22:29:09] #0118/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:29:57] #0120/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.068 conf=0.490 gap=0.070
[2026-05-11 22:30:18] #0122/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.825 conf=0.800 gap=0.720
[2026-05-11 22:33:21] #0132/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:33:51] #0134/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:34:32] #0137/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.617 conf=0.380 gap=0.080
[2026-05-11 22:34:54] #0138/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:35:25] #0141/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:35:29] #0142/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.618 conf=0.350 gap=0.050
[2026-05-11 22:37:20] #0147/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:37:26] #0148/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:38:23] #0153/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.958 conf=0.500 gap=0.111
[2026-05-11 22:40:50] #0159/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-11 22:41:21] #0161/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 22:43:36] #0168/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:44:22] #0172/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:44:46] #0173/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.831 conf=0.688 gap=0.500
[2026-05-11 22:46:00] #0178/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:46:22] #0180/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.280 conf=0.650 gap=0.550
[2026-05-11 22:49:35] #0187/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:49:57] #0189/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:18] #0190/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:50:48] #0191/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-11 22:52:41] #0196/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.385 conf=0.400 gap=0.050
[2026-05-11 22:52:54] #0197/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:54:33] #0201/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:54:55] #0203/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:55:42] #0205/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 22:56:07] #0207/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.481 conf=0.400 gap=0.050
[2026-05-11 22:56:53] #0210/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.073 conf=0.412 gap=0.059
[2026-05-11 23:02:25] #0227/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.464 conf=0.450 gap=0.150
[2026-05-11 23:04:02] #0233/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.342 conf=0.450 gap=0.100
[2026-05-11 23:05:25] #0236/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.551 conf=0.854 gap=0.753
[2026-05-11 23:09:50] #0250/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:16:24] #0265/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.613 conf=0.830 gap=0.730
[2026-05-11 23:16:27] #0266/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.943 conf=0.500 gap=0.100
[2026-05-11 23:17:29] #0268/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.142 conf=0.680 gap=0.530
[2026-05-11 23:17:36] #0269/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:22:13] #0274/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.419 conf=0.898 gap=0.818
[2026-05-11 23:25:57] #0279/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.892 conf=0.750 gap=0.600
[2026-05-11 23:26:55] #0283/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 23:28:33] #0287/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:31:05] #0292/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:31:19] #0293/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:27] #0299/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:35:56] #0305/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.466 conf=0.500 gap=0.300
[2026-05-11 23:36:28] #0307/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.943 conf=0.750 gap=0.650
[2026-05-11 23:37:21] #0310/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.352 conf=0.380 gap=0.030
