[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 21:51:44] #0003/02770 | true=shuffle | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:51:56] #0004/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:52:10] #0005/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:52:40] #0006/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:52:47] #0007/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 21:53:00] #0008/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.837 conf=0.800 gap=0.750
[2026-05-11 21:53:07] #0009/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:53:40] #0010/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 21:53:45] #0011/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.938 conf=0.780 gap=0.730
[2026-05-11 21:53:48] #0012/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:53:55] #0013/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:54:01] #0014/02770 | true=shuffle | pred=walk | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 21:54:44] #0015/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 21:55:12] #0016/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.183 conf=0.700 gap=0.650
[2026-05-11 21:55:43] #0017/02770 | true=shuffle | pred=stand | ✗ | ent=0.773 conf=0.780 gap=0.630
[2026-05-11 21:56:06] #0018/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:56:31] #0019/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 21:56:40] #0020/02770 | true=shuffle | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 21:56:40]   [20/2770] acc=50% filt=19
[2026-05-11 21:56:44] #0021/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 21:57:00] #0022/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 21:57:52] #0023/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:58:03] #0024/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.087 conf=0.550 gap=0.200
[2026-05-11 21:58:07] #0025/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:58:23] #0026/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.414 conf=0.400 gap=0.050
[2026-05-11 21:59:02] #0027/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.714 conf=0.280 gap=0.030
[2026-05-11 21:59:20] #0028/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:59:30] #0029/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 21:59:56] #0030/02770 | true=shuffle | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:00:11] #0031/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.906 conf=0.470 gap=0.000
[2026-05-11 22:00:33] #0032/02770 | true=shuffle | pred=walk | ✗ | ent=1.148 conf=0.700 gap=0.650
[2026-05-11 22:00:44] #0033/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:00:55] #0034/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:07] #0035/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:01:20] #0036/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.513 conf=0.450 gap=0.300
[2026-05-11 22:02:16] #0037/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.318 conf=0.600 gap=0.450
[2026-05-11 22:02:28] #0038/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 22:02:51] #0039/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 22:03:00] #0040/02770 | true=shuffle | pred=stand | ✗ | ent=0.836 conf=0.700 gap=0.460
[2026-05-11 22:03:00]   [40/2770] acc=55% filt=32
[2026-05-11 22:03:06] #0041/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:03:16] #0042/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:03:26] #0043/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:29] #0044/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.331 conf=0.450 gap=0.150
[2026-05-11 22:03:44] #0045/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
