[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 21:51:56] #0004/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:52:47] #0007/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 21:53:00] #0008/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.837 conf=0.800 gap=0.750
[2026-05-11 21:53:07] #0009/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:53:45] #0011/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.938 conf=0.780 gap=0.730
[2026-05-11 21:53:48] #0012/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:53:55] #0013/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:55:12] #0016/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.183 conf=0.700 gap=0.650
[2026-05-11 21:56:06] #0018/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:56:44] #0021/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.940 conf=0.700 gap=0.600
[2026-05-11 21:57:00] #0022/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 21:57:52] #0023/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:58:03] #0024/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.087 conf=0.550 gap=0.200
[2026-05-11 21:58:07] #0025/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:59:30] #0029/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 22:00:44] #0033/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 22:01:07] #0035/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:01:20] #0036/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.513 conf=0.450 gap=0.300
[2026-05-11 22:02:16] #0037/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.318 conf=0.600 gap=0.450
[2026-05-11 22:02:28] #0038/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 22:02:51] #0039/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 22:03:06] #0041/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:03:16] #0042/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:03:29] #0044/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.331 conf=0.450 gap=0.150
[2026-05-11 22:03:44] #0045/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 22:04:17] #0047/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:04:26] #0048/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:04:30] #0049/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:05:14] #0052/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:05:28] #0053/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.694 conf=0.350 gap=0.150
[2026-05-11 22:05:31] #0054/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:05:42] #0055/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.194 conf=0.580 gap=0.430
[2026-05-11 22:06:38] #0058/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.127 conf=0.650 gap=0.500
[2026-05-11 22:07:08] #0059/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-11 22:07:38] #0061/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 22:07:42] #0062/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:08:34] #0065/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.322 conf=0.550 gap=0.300
[2026-05-11 22:09:18] #0067/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:09:20] #0068/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:09:30] #0069/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.580 gap=0.240
[2026-05-11 22:09:39] #0070/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:10:31] #0073/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 22:10:34] #0074/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:11:53] #0079/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:12:40] #0082/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:13:03] #0083/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:14:52] #0086/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-11 22:15:48] #0089/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:16:06] #0091/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-11 22:16:27] #0092/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-11 22:16:38] #0093/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:16:50] #0094/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.254 conf=0.650 gap=0.550
[2026-05-11 22:17:16] #0096/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:17:41] #0097/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:18:10] #0098/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:18:59] #0100/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.347 conf=0.550 gap=0.370
[2026-05-11 22:19:05] #0101/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.288 conf=0.450 gap=0.250
[2026-05-11 22:19:08] #0102/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-11 22:20:38] #0104/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:20:54] #0106/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:21:21] #0108/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:22:23] #0109/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-11 22:22:53] #0111/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:23:12] #0112/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.368 conf=0.550 gap=0.400
[2026-05-11 22:23:43] #0113/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:24:13] #0115/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:27:00] #0119/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:27:07] #0120/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:28:01] #0122/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.344 conf=0.400 gap=0.050
[2026-05-11 22:30:06] #0129/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:30:32] #0130/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 22:31:21] #0132/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:32:16] #0135/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:32:51] #0138/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:33:22] #0139/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:33:38] #0140/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:34:31] #0142/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.442 conf=0.500 gap=0.300
[2026-05-11 22:35:25] #0146/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:35:39] #0147/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.169 conf=0.700 gap=0.620
[2026-05-11 22:35:55] #0148/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-11 22:35:58] #0149/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.600 conf=0.400 gap=0.250
[2026-05-11 22:36:18] #0151/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:36:24] #0152/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:36:54] #0153/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:37:24] #0154/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:37:56] #0156/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:38:00] #0157/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:38:11] #0158/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.789 conf=0.680 gap=0.400
[2026-05-11 22:38:58] #0160/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-11 22:39:44] #0161/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 22:40:41] #0166/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:41:54] #0169/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.560 conf=0.400 gap=0.100
[2026-05-11 22:42:18] #0171/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.952 conf=0.700 gap=0.500
[2026-05-11 22:42:39] #0172/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:44:17] #0179/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.442 conf=0.500 gap=0.250
[2026-05-11 22:44:27] #0180/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 22:44:43] #0181/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.056 conf=0.720 gap=0.630
[2026-05-11 22:46:42] #0187/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:47:33] #0190/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.720 conf=0.350 gap=0.150
[2026-05-11 22:47:56] #0193/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-11 22:48:12] #0195/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:49:10] #0198/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.934 conf=0.250 gap=0.100
[2026-05-11 22:49:28] #0200/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.089 conf=0.600 gap=0.400
[2026-05-11 22:49:55] #0202/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-11 22:50:03] #0203/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:50:14] #0205/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.124 conf=0.450 gap=0.000
[2026-05-11 22:50:23] #0206/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 22:50:40] #0208/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:50:56] #0210/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 22:51:16] #0211/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 22:51:25] #0212/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.319 conf=0.450 gap=0.070
[2026-05-11 22:51:33] #0213/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:51:59] #0215/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:52:24] #0216/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:54:02] #0221/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:54:07] #0222/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
